Country;Location;EventDate;EventName;OfficialEventName
Hungary;Budapest;1995-08-13 00:00:00;Hungarian Grand Prix;
Belgium;Spa;1995-08-27 00:00:00;Belgian Grand Prix;
Italy;Monza;1995-09-10 00:00:00;Italian Grand Prix;
Portugal;Estoril;1995-09-24 00:00:00;Portuguese Grand Prix;
Germany;Nürburg;1995-10-01 00:00:00;European Grand Prix;
Japan;Okayama;1995-10-22 00:00:00;Pacific Grand Prix;
Japan;Suzuka;1995-10-29 00:00:00;Japanese Grand Prix;
Australia;Adelaide;1995-11-12 00:00:00;Australian Grand Prix;
Australia;Melbourne;1996-03-10 00:00:00;Australian Grand Prix;
Brazil;São Paulo;1996-03-31 00:00:00;Brazilian Grand Prix;
Argentina;Buenos Aires;1996-04-07 00:00:00;Argentine Grand Prix;
Germany;Nürburg;1996-04-28 00:00:00;European Grand Prix;
Italy;Imola;1996-05-05 00:00:00;San Marino Grand Prix;
Monaco;Monte-Carlo;1996-05-19 00:00:00;Monaco Grand Prix;
Spain;Montmeló;1996-06-02 00:00:00;Spanish Grand Prix;
Canada;Montreal;1996-06-16 00:00:00;Canadian Grand Prix;
France;Magny Cours;1996-06-30 00:00:00;French Grand Prix;
UK;Silverstone;1996-07-14 00:00:00;British Grand Prix;
Germany;Hockenheim;1996-07-28 00:00:00;German Grand Prix;
Hungary;Budapest;1996-08-11 00:00:00;Hungarian Grand Prix;
Belgium;Spa;1996-08-25 00:00:00;Belgian Grand Prix;
Italy;Monza;1996-09-08 00:00:00;Italian Grand Prix;
Portugal;Estoril;1996-09-22 00:00:00;Portuguese Grand Prix;
Japan;Suzuka;1996-10-13 00:00:00;Japanese Grand Prix;
Australia;Melbourne;1997-03-09 00:00:00;Australian Grand Prix;
Brazil;São Paulo;1997-03-30 00:00:00;Brazilian Grand Prix;
Argentina;Buenos Aires;1997-04-13 00:00:00;Argentine Grand Prix;
Italy;Imola;1997-04-27 00:00:00;San Marino Grand Prix;
Monaco;Monte-Carlo;1997-05-11 00:00:00;Monaco Grand Prix;
Spain;Montmeló;1997-05-25 00:00:00;Spanish Grand Prix;
Canada;Montreal;1997-06-15 00:00:00;Canadian Grand Prix;
France;Magny Cours;1997-06-29 00:00:00;French Grand Prix;
UK;Silverstone;1997-07-13 00:00:00;British Grand Prix;
Germany;Hockenheim;1997-07-27 00:00:00;German Grand Prix;
Hungary;Budapest;1997-08-10 00:00:00;Hungarian Grand Prix;
Belgium;Spa;1997-08-24 00:00:00;Belgian Grand Prix;
Italy;Monza;1997-09-07 00:00:00;Italian Grand Prix;
Austria;Spielberg;1997-09-21 00:00:00;Austrian Grand Prix;
Germany;Nürburg;1997-09-28 00:00:00;Luxembourg Grand Prix;
Japan;Suzuka;1997-10-12 00:00:00;Japanese Grand Prix;
Spain;Jerez de la Frontera;1997-10-26 00:00:00;European Grand Prix;
Australia;Melbourne;1998-03-08 00:00:00;Australian Grand Prix;
Brazil;São Paulo;1998-03-29 00:00:00;Brazilian Grand Prix;
Argentina;Buenos Aires;1998-04-12 00:00:00;Argentine Grand Prix;
Italy;Imola;1998-04-26 00:00:00;San Marino Grand Prix;
Spain;Montmeló;1998-05-10 00:00:00;Spanish Grand Prix;
Monaco;Monte-Carlo;1998-05-24 00:00:00;Monaco Grand Prix;
Canada;Montreal;1998-06-07 00:00:00;Canadian Grand Prix;
France;Magny Cours;1998-06-28 00:00:00;French Grand Prix;
UK;Silverstone;1998-07-12 00:00:00;British Grand Prix;
Austria;Spielberg;1998-07-26 00:00:00;Austrian Grand Prix;
Germany;Hockenheim;1998-08-02 00:00:00;German Grand Prix;
Hungary;Budapest;1998-08-16 00:00:00;Hungarian Grand Prix;
Belgium;Spa;1998-08-30 00:00:00;Belgian Grand Prix;
Italy;Monza;1998-09-13 00:00:00;Italian Grand Prix;
Germany;Nürburg;1998-09-27 00:00:00;Luxembourg Grand Prix;
Japan;Suzuka;1998-11-01 00:00:00;Japanese Grand Prix;
Australia;Melbourne;1999-03-07 00:00:00;Australian Grand Prix;
Brazil;São Paulo;1999-04-11 00:00:00;Brazilian Grand Prix;
Italy;Imola;1999-05-02 00:00:00;San Marino Grand Prix;
Monaco;Monte-Carlo;1999-05-16 00:00:00;Monaco Grand Prix;
Spain;Montmeló;1999-05-30 00:00:00;Spanish Grand Prix;
Canada;Montreal;1999-06-13 00:00:00;Canadian Grand Prix;
France;Magny Cours;1999-06-27 00:00:00;French Grand Prix;
UK;Silverstone;1999-07-11 00:00:00;British Grand Prix;
Austria;Spielberg;1999-07-25 00:00:00;Austrian Grand Prix;
Germany;Hockenheim;1999-08-01 00:00:00;German Grand Prix;
Hungary;Budapest;1999-08-15 00:00:00;Hungarian Grand Prix;
Belgium;Spa;1999-08-29 00:00:00;Belgian Grand Prix;
Italy;Monza;1999-09-12 00:00:00;Italian Grand Prix;
Germany;Nürburg;1999-09-26 00:00:00;European Grand Prix;
Malaysia;Kuala Lumpur;1999-10-17 00:00:00;Malaysian Grand Prix;
Japan;Suzuka;1999-10-31 00:00:00;Japanese Grand Prix;
Australia;Melbourne;2000-03-12 00:00:00;Australian Grand Prix;
Brazil;São Paulo;2000-03-26 00:00:00;Brazilian Grand Prix;
Italy;Imola;2000-04-09 00:00:00;San Marino Grand Prix;
UK;Silverstone;2000-04-23 00:00:00;British Grand Prix;
Spain;Montmeló;2000-05-07 00:00:00;Spanish Grand Prix;
Germany;Nürburg;2000-05-21 00:00:00;European Grand Prix;
Monaco;Monte-Carlo;2000-06-04 00:00:00;Monaco Grand Prix;
Canada;Montreal;2000-06-18 00:00:00;Canadian Grand Prix;
France;Magny Cours;2000-07-02 00:00:00;French Grand Prix;
Austria;Spielberg;2000-07-16 00:00:00;Austrian Grand Prix;
Germany;Hockenheim;2000-07-30 00:00:00;German Grand Prix;
Hungary;Budapest;2000-08-13 00:00:00;Hungarian Grand Prix;
Belgium;Spa;2000-08-27 00:00:00;Belgian Grand Prix;
Italy;Monza;2000-09-10 00:00:00;Italian Grand Prix;
USA;Indianapolis;2000-09-24 00:00:00;United States Grand Prix;
Japan;Suzuka;2000-10-08 00:00:00;Japanese Grand Prix;
Malaysia;Kuala Lumpur;2000-10-22 00:00:00;Malaysian Grand Prix;
Australia;Melbourne;2001-03-04 00:00:00;Australian Grand Prix;
Malaysia;Kuala Lumpur;2001-03-18 00:00:00;Malaysian Grand Prix;
Brazil;São Paulo;2001-04-01 00:00:00;Brazilian Grand Prix;
Italy;Imola;2001-04-15 00:00:00;San Marino Grand Prix;
Spain;Montmeló;2001-04-29 00:00:00;Spanish Grand Prix;
Austria;Spielberg;2001-05-13 00:00:00;Austrian Grand Prix;
Monaco;Monte-Carlo;2001-05-27 00:00:00;Monaco Grand Prix;
Canada;Montreal;2001-06-10 00:00:00;Canadian Grand Prix;
Germany;Nürburg;2001-06-24 00:00:00;European Grand Prix;
France;Magny Cours;2001-07-01 00:00:00;French Grand Prix;
UK;Silverstone;2001-07-15 00:00:00;British Grand Prix;
Germany;Hockenheim;2001-07-29 00:00:00;German Grand Prix;
Hungary;Budapest;2001-08-19 00:00:00;Hungarian Grand Prix;
Belgium;Spa;2001-09-02 00:00:00;Belgian Grand Prix;
Italy;Monza;2001-09-16 00:00:00;Italian Grand Prix;
USA;Indianapolis;2001-09-30 00:00:00;United States Grand Prix;
Japan;Suzuka;2001-10-14 00:00:00;Japanese Grand Prix;
Australia;Melbourne;2002-03-03 00:00:00;Australian Grand Prix;
Malaysia;Kuala Lumpur;2002-03-17 00:00:00;Malaysian Grand Prix;
Brazil;São Paulo;2002-03-31 00:00:00;Brazilian Grand Prix;
