Country;Location;EventDate;EventName;OfficialEventName
United States;Austin;2021-10-24 00:00:00;United States Grand Prix;FORMULA 1 ARAMCO UNITED STATES GRAND PRIX 2021
Mexico;Mexico City;2021-11-07 00:00:00;Mexico City Grand Prix;FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2021
Brazil;São Paulo;2021-11-14 00:00:00;São Paulo Grand Prix;FORMULA 1 HEINEKEN GRANDE PRÊMIO DE SÃO PAULO 2021
Qatar;Lusail;2021-11-21 00:00:00;Qatar Grand Prix;FORMULA 1 OOREDOO QATAR GRAND PRIX 2021
Saudi Arabia;Jeddah;2021-12-05 00:00:00;Saudi Arabian Grand Prix;FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2021
Abu Dhabi;Yas Island;2021-12-12 00:00:00;Abu Dhabi Grand Prix;FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2021
Spain;Spain;2022-02-25 00:00:00;Pre-Season Track Session;FORMULA 1 PRE-SEASON TRACK SESSION 2022
Bahrain;Bahrain;2022-03-12 00:00:00;Pre-Season Test;FORMULA 1 ARAMCO PRE-SEASON TESTING 2022
Bahrain;Sakhir;2022-03-20 00:00:00;Bahrain Grand Prix;FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022
Saudi Arabia;Jeddah;2022-03-27 00:00:00;Saudi Arabian Grand Prix;FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2022
Australia;Melbourne;2022-04-10 00:00:00;Australian Grand Prix;FORMULA 1 HEINEKEN AUSTRALIAN GRAND PRIX 2022
Italy;Imola;2022-04-24 00:00:00;Emilia Romagna Grand Prix;FORMULA 1 ROLEX GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2022
United States;Miami;2022-05-08 00:00:00;Miami Grand Prix;FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2022
Spain;Barcelona;2022-05-22 00:00:00;Spanish Grand Prix;FORMULA 1 PIRELLI GRAN PREMIO DE ESPAÑA 2022
Monaco;Monaco;2022-05-29 00:00:00;Monaco Grand Prix;FORMULA 1 GRAND PRIX DE MONACO 2022
Azerbaijan;Baku;2022-06-12 00:00:00;Azerbaijan Grand Prix;FORMULA 1 AZERBAIJAN GRAND PRIX 2022
Canada;Montréal;2022-06-19 00:00:00;Canadian Grand Prix;FORMULA 1 AWS GRAND PRIX DU CANADA 2022
Great Britain;Silverstone;2022-07-03 00:00:00;British Grand Prix;FORMULA 1 LENOVO BRITISH GRAND PRIX 2022
Austria;Spielberg;2022-07-10 00:00:00;Austrian Grand Prix;FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2022
France;Le Castellet;2022-07-24 00:00:00;French Grand Prix;FORMULA 1 LENOVO GRAND PRIX DE FRANCE 2022
Hungary;Budapest;2022-07-31 00:00:00;Hungarian Grand Prix;FORMULA 1 ARAMCO MAGYAR NAGYDÍJ 2022
Belgium;Spa-Francorchamps;2022-08-28 00:00:00;Belgian Grand Prix;FORMULA 1 ROLEX BELGIAN GRAND PRIX 2022
Netherlands;Zandvoort;2022-09-04 00:00:00;Dutch Grand Prix;FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2022
Italy;Monza;2022-09-11 00:00:00;Italian Grand Prix;FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2022
Singapore;Marina Bay;2022-10-02 00:00:00;Singapore Grand Prix;FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2022
Japan;Suzuka;2022-10-09 00:00:00;Japanese Grand Prix;FORMULA 1 HONDA JAPANESE GRAND PRIX 2022
United States;Austin;2022-10-23 00:00:00;United States Grand Prix;FORMULA 1 ARAMCO UNITED STATES GRAND PRIX 2022
Mexico;Mexico City;2022-10-30 00:00:00;Mexico City Grand Prix;FORMULA 1 HEINEKEN GRAN PREMIO DE LA CIUDAD DE MÉXICO 2022
Brazil;São Paulo;2022-11-13 00:00:00;São Paulo Grand Prix;FORMULA 1 HEINEKEN GRANDE PRÊMIO DE SÃO PAULO 2022
Abu Dhabi;Yas Island;2022-11-20 00:00:00;Abu Dhabi Grand Prix;FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2022
Bahrain;Sakhir;2023-02-25 00:00:00;Pre-Season Testing;FORMULA 1 ARAMCO PRE-SEASON TESTING 2023
Bahrain;Sakhir;2023-03-05 00:00:00;Bahrain Grand Prix;FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023
Saudi Arabia;Jeddah;2023-03-19 00:00:00;Saudi Arabian Grand Prix;FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
Australia;Melbourne;2023-04-02 00:00:00;Australian Grand Prix;FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023
Azerbaijan;Baku;2023-04-30 00:00:00;Azerbaijan Grand Prix;FORMULA 1 AZERBAIJAN GRAND PRIX 2023
United States;Miami;2023-05-07 00:00:00;Miami Grand Prix;FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023
Monaco;Monaco;2023-05-28 00:00:00;Monaco Grand Prix;FORMULA 1 GRAND PRIX DE MONACO 2023
Spain;Barcelona;2023-06-04 00:00:00;Spanish Grand Prix;FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023
Canada;Montréal;2023-06-18 00:00:00;Canadian Grand Prix;FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023
Austria;Spielberg;2023-07-02 00:00:00;Austrian Grand Prix;FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023
Great Britain;Silverstone;2023-07-09 00:00:00;British Grand Prix;FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023
Hungary;Budapest;2023-07-23 00:00:00;Hungarian Grand Prix;FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023
Belgium;Spa-Francorchamps;2023-07-30 00:00:00;Belgian Grand Prix;FORMULA 1 MSC CRUISES BELGIAN GRAND PRIX 2023
Netherlands;Zandvoort;2023-08-27 00:00:00;Dutch Grand Prix;FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2023
Italy;Monza;2023-09-03 00:00:00;Italian Grand Prix;FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2023 
Singapore;Marina Bay;2023-09-17 00:00:00;Singapore Grand Prix;FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2023 
Japan;Suzuka;2023-09-24 00:00:00;Japanese Grand Prix;FORMULA 1 LENOVO JAPANESE GRAND PRIX 2023 
Qatar;Lusail;2023-10-08 00:00:00;Qatar Grand Prix;FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2023
United States;Austin;2023-10-22 00:00:00;United States Grand Prix;FORMULA 1 LENOVO UNITED STATES GRAND PRIX 2023
Mexico;Mexico City;2023-10-29 00:00:00;Mexico City Grand Prix;FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2023
Brazil;São Paulo;2023-11-05 00:00:00;São Paulo Grand Prix;FORMULA 1 ROLEX GRANDE PRÊMIO DE SÃO PAULO 2023
United States;Las Vegas;2023-11-18 00:00:00;Las Vegas Grand Prix;FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2023
Abu Dhabi;Yas Island;2023-11-26 00:00:00;Abu Dhabi Grand Prix;FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2023 
Bahrain;Sakhir;2024-02-23 00:00:00;Pre-Season Testing;FORMULA 1 ARAMCO PRE-SEASON TESTING 2024
Bahrain;Sakhir;2024-03-02 00:00:00;Bahrain Grand Prix;FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024
Saudi Arabia;Jeddah;2024-03-09 00:00:00;Saudi Arabian Grand Prix;FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024
Australia;Melbourne;2024-03-24 00:00:00;Australian Grand Prix;FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024
Japan;Suzuka;2024-04-07 00:00:00;Japanese Grand Prix;FORMULA 1 MSC CRUISES JAPANESE GRAND PRIX 2024
China;Shanghai;2024-04-21 00:00:00;Chinese Grand Prix;FORMULA 1 LENOVO CHINESE GRAND PRIX 2024
United States;Miami;2024-05-05 00:00:00;Miami Grand Prix;FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2024
Italy;Imola;2024-05-19 00:00:00;Emilia Romagna Grand Prix;FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024
Monaco;Monaco;2024-05-26 00:00:00;Monaco Grand Prix;FORMULA 1 GRAND PRIX DE MONACO 2024
Canada;Montréal;2024-06-09 00:00:00;Canadian Grand Prix;FORMULA 1 AWS GRAND PRIX DU CANADA 2024
Spain;Barcelona;2024-06-23 00:00:00;Spanish Grand Prix;FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2024
Austria;Spielberg;2024-06-30 00:00:00;Austrian Grand Prix;FORMULA 1 QATAR AIRWAYS AUSTRIAN GRAND PRIX 2024
United Kingdom;Silverstone;2024-07-07 00:00:00;British Grand Prix;FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024
Hungary;Budapest;2024-07-21 00:00:00;Hungarian Grand Prix;FORMULA 1 HUNGARIAN GRAND PRIX 2024
Belgium;Spa-Francorchamps;2024-07-28 00:00:00;Belgian Grand Prix;FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024
Netherlands;Zandvoort;2024-08-25 00:00:00;Dutch Grand Prix;FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2024
Italy;Monza;2024-09-01 00:00:00;Italian Grand Prix;FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2024
Azerbaijan;Baku;2024-09-15 00:00:00;Azerbaijan Grand Prix;FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024
Singapore;Marina Bay;2024-09-22 00:00:00;Singapore Grand Prix;FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2024
United States;Austin;2024-10-20 00:00:00;United States Grand Prix;FORMULA 1 PIRELLI UNITED STATES GRAND PRIX 2024
Mexico;Mexico City;2024-10-27 00:00:00;Mexico City Grand Prix;FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2024
Brazil;São Paulo;2024-11-03 00:00:00;São Paulo Grand Prix;FORMULA 1 LENOVO GRANDE PRÊMIO DE SÃO PAULO 2024
United States;Las Vegas;2024-11-23 00:00:00;Las Vegas Grand Prix;FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2024
Qatar;Lusail;2024-12-01 00:00:00;Qatar Grand Prix;FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2024
United Arab Emirates;Yas Island;2024-12-08 00:00:00;Abu Dhabi Grand Prix;FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2024
